sample_id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106
0,0.028405457,275251.2,1.055338466,0.222780467,151.663616,4.791734936,-0.606762098,-4.63557E+11,,1.53608E+15,0.547224848,1.677073404,440243.467,0.351382319,0.188556025,1.034822384,-2.82008E+13,216.4937595,123.0359471,-12.31996152,1890,439489.6845,0.04829567,214.0065202,255056.8508,257938.4556,31.88230401,0.374876437,1.108271132,0.520825278,-0.838047306,114.9225944,42,3.05607855,1.117355328,2.039671014,-7.38957E+11,217147.2991,0.799966872,21868756.62,1.022065945,140.8557715,3424437062,-69174.99504,20.38719587,-0.15861536,15.04022312,165772.5493,-70175935.1,,494959.4134,-1.03297E+15,99008.07038,0.834054124,275251.2,186930.4811,-5.764445407,0,-46409.09403,2.283539688,69638553.6,-26681.28507,126.5837168,37115.8828,1075.2,10.5,3.22212E+12,99.88495885,542228.8205,165.4447794,94592.86644,1.047999148,-3446779.961,43446.91939,55652.13339,288.7705899,-2.036538852,0,4300.8,-1.89E+16,0.84,14.55499215,-22094907004,0.502136547,5.0428E+12,0.008010289,-93153857476,81439032021,17203.2,-8991024.789,18780.35023,1.40574E+13,1075.2,60.78497003,1668232.754,117.1186237,53354.28192,1.250026655,188.2158112,63383.46509,0,-540217165.5,226.0245374,252.6941554,,4.398377562,1.072017762
1,0.143195227,-520941.6215,-1.509476487,1.318456843,1455.978421,3.312857282,-1.59180779,1.69151E+11,99028.73101,9.6755E+15,0.522840797,0.08761689,362815.3739,19.44323971,27.68827163,3.044951542,1.67223E+14,100.0805022,32.65131547,78.67641851,1890,2860833.759,0.648464317,484.2464571,1812711.822,1336947.279,42.21180832,20.21600107,13.8335191,0.554470423,18.55741275,862.6521129,-26.8518633,19.90967984,,9.49884943,6.24161E+13,1280775.963,,285270048,0.699425998,-87.39694211,-4219314292,85078.51038,136.9058623,-0.014653571,15.31111102,179986.0903,-56815299.57,93.92837488,440796.1906,6.97793E+14,1902594.484,0.048861423,275251.2,584360.8384,5.725591461,0,32139.97216,34.02847252,74379798.87,-90325.90438,365.2428684,497436.2929,707.677197,-0.70407014,6.39161E+12,39.1689729,26343.56885,-15.05651613,25041.21999,0.040983999,-1449690.604,417280.794,2215852.517,318.1753032,31.48291717,0,5155.223278,8.40E+16,0.84,-8.847136269,5.52171E+11,7.106648732,-3.10859E+13,0.054484133,8.07222E+11,43649179440,42929.92251,579771592.6,183805.1284,1.32646E+13,-2128.72543,29.96355607,1181900.006,92.45658956,-380219.1864,5.84189572,-129.4713658,-66882.55707,0,6856292554,226.5403559,-135.5965724,-23.09802212,4.860445233,3.37265592
2,2.073869401,275251.2,1.056401558,0.439491484,414.6030884,11.56282149,-0.307624095,-4.78778E+11,,-8.69726E+13,1.002928128,1.163054842,242111.1479,-0.476386145,-2.170451714,1.051085534,3.0741E+12,145.4349602,63.93320753,-12.35428379,1890,,0.138945483,378.9767168,503312.8423,129864.5836,,0.770491911,0.216957663,0.201924523,-2.103771332,121.6347813,42,0.693077865,0.976995418,-2.39330872,-3.02331E+12,380101.7855,0.312626456,41265732.96,0.041591294,212.348768,921382936.3,-80424.82278,16.9111732,,3.033540923,204900.0844,-393713458.1,-15.14446117,245745.712,2.60795E+15,26670.5406,0.990392862,275251.2,427324.4177,5.92004129,0,,0.094689974,69638553.6,-48118.38984,27.54721375,349096.2801,1075.2,10.5,1.43122E+13,33.19615843,545120.0547,122.6070638,2888.28398,0.018887212,-5638999.674,109273.6615,163565.4402,339.3828023,3.667560142,0,4300.8,,0.84,-1.663876426,2.42079E+11,1.08782239,5.11608E+13,0.011688197,1.41957E+12,1.13256E+11,,4752809.399,19877.96319,2.19934E+13,1075.2,46.98769493,1968785.662,80.69744493,852480.1022,-1.964249405,282.2090077,84610.78952,0,-128388828.6,148.3153437,,252.2125027,-0.199615704,0.579550154
3,3.800128827,,1.048823205,0.226531943,107.2002995,5.19527491,0.467003605,80131459127,18534.20216,-1.32841E+14,1.011315411,0.241646449,347326.0311,-1.188282026,0.456897982,0.374561838,-1.23471E+13,66.21228254,59.44960749,-8.909882021,1890,157415.3373,0.086672789,294.0424365,328433.4745,336727.5344,,-0.201808084,0.060154884,0.414926798,0.051718561,133.8684405,42,4.050544137,0.535894209,-1.639566477,3.47512E+12,97086.89349,1.387656472,67543166.93,,225.8278201,2416174819,158934.6826,13.63045026,-0.408404375,16.40595822,108002.6096,-139768611.1,-14.14702447,514148.5301,-2.63557E+15,302904.6059,0.917142823,275251.2,439218.4398,60.04375267,0,-24581.5844,4.473103573,69638553.6,14284.95821,25.9504404,8332.608649,1075.2,10.5,-2.0514E+13,46.55014786,116740.4563,96.74660532,78790.66599,1.019571327,2300030.439,125676.6522,761784.3489,,0.92815446,0,4300.8,-1.83E+16,0.84,,44183112294,0.407353572,-3.57178E+13,0.000352713,-4.40347E+11,-10263539085,17203.2,-32350332.9,20135.2211,-8.27542E+12,1075.2,24.40946462,729837.1643,90.00215842,-914500.0439,-0.889333684,,42374.22841,0,-707765247.3,196.3185212,554.2525206,239.7499898,2.317002808,0.804334514
4,,275251.2,1.058387297,1.833527462,223.7417943,7.058261387,0.169602161,-2.78593E+11,22427.3429,-5.61018E+14,1.023796276,1.493717232,578578.2485,3.961059845,2.946664875,1.047630082,3.29328E+12,122.1808278,59.78571715,2.524967161,1890,223642.586,0.072549575,306.8093902,,207203.0609,21.71423208,-2.319714957,1.56833983,0.018371475,0.825395278,37.49527739,42,0.984840296,0.629694651,2.524266284,7.11332E+12,383627.587,,149238175.4,1.569771782,319.9802944,-3077129674,-14978.12212,59.58516903,0.529188903,51.10352023,34846.70113,79254504.29,-47.38807477,491302.4376,5.83677E+14,198904.5751,1.561495698,275251.2,113270.408,10.25391817,0,-72434.15516,0.385498869,69638553.6,37993.96624,63.17381292,391346.2826,1075.2,10.5,3.76319E+13,97.71046217,17112.44256,117.8166814,59520.63389,0.073705053,3300302.655,150607.2723,297688.3577,335.8357367,-2.96548533,0,4300.8,-1.53E+16,0.84,4.520173296,71363600414,,5.05993E+13,0.00157979,1.07136E+12,21532786322,17203.2,35451840.95,7774.064937,2.36052E+12,1075.2,26.62335882,-1053975.233,49.87276675,-356377.5477,3.55991056,363.0887339,53224.38507,0,1644600914,,166.6864928,188.8971872,1.623905208,0.383372889
5,0.396230585,275251.2,1.054085088,0.182123678,,8.028798235,0.125824931,-3.20009E+11,38608.44495,-1.75642E+15,1.039134771,4.370405936,138271.3985,3.00872627,0.937864614,0.068971051,4.96843E+11,,64.66192164,-14.56163247,1890,469950.4644,0.059793357,203.5073073,260666.9338,70595.93186,22.71354646,-0.562059567,0.307562143,1.044156463,-0.31904451,126.5718851,42,-0.106481225,1.063116646,2.2713059,1.38362E+12,251166.567,3.580647253,-13550804.9,0.029005375,155.5449717,-535601454.3,104867.081,32.53237488,-0.461517513,22.06552982,106286.368,190590247.9,58.62669258,387744.0369,-3.63603E+14,64680.75941,0.982871684,275251.2,502283.7019,30.06678965,0,24326.99375,-1.299464613,69638553.6,-13717.64383,91.36396078,263066.4068,1075.2,10.5,-2.69118E+13,82.66046848,586362.9896,166.8935088,72566.15112,1.035805713,4298377.155,129407.8702,828979.1982,501.7306955,1.058920617,0,4300.8,,0.84,6.645566662,-42544969083,0.599573265,-8.06324E+13,0.003620408,4.65435E+11,7327689700,17203.2,25030924.52,16089.05126,4.6184E+12,1075.2,63.16806297,1829048.654,91.22461568,-836126.1084,1.153866595,299.2139676,85784.79176,0,-1667015578,262.0466825,235.9313948,212.5974292,-0.878777769,1.024253448
6,4.772170933,275251.2,1.048995867,1.198314429,220.87646,3.301966327,-0.590782715,99025113896,10943.074,9.9376E+14,1.033552882,1.941376967,458826.5015,0.985875807,3.575352154,,-4.85829E+12,187.4829099,94.48316039,3.978968482,1890,312801.5825,0.026805697,428.6582652,379395.5,521908.4259,39.35819345,1.867214803,0.538055909,1.371668724,-0.896495228,119.6488415,42,-3.732998145,0.918604069,-2.136877445,-1.27432E+13,493215.5826,0.387439169,-88103392.51,,246.7380437,-1596133385,146722.2657,18.40088992,-0.052446452,7.984279581,,622778685.9,8.62192628,353965.2409,1.42036E+15,254545.0555,0.249118674,275251.2,267608.552,-50.3040612,0,-13154.56846,1.016301017,69638553.6,-88988.77684,112.9635146,472716.5998,1075.2,10.5,-1.2858E+13,76.13381372,,99.64860368,79641.4697,1.039841933,1056816.851,,683899.0304,553.9215913,2.281319249,0,4300.8,4.23723E+15,0.84,,1.81092E+11,0.671064349,-1.91406E+13,0.004829664,2.22135E+12,5776834514,17203.2,67044824.78,3358.590093,1.20647E+13,1075.2,44.69551219,-1173532.942,115.8618023,-1132097.703,-1.317033103,25.67121982,117669.7968,0,-532291463.2,124.0238742,480.7932718,42.48459337,0.09234368,
7,0.032832341,275251.2,,1.77053492,222.4420296,3.412642301,0.097505584,-3.11893E+11,-20389.26231,6.66088E+14,0.526429318,0.98022329,298847.7519,4.612133755,10.81136048,1.042323704,-9.57397E+12,80.32749628,92.52152129,-0.458741787,1890,213163.6734,0.000150728,197.2554097,201487.5154,,20.23277756,6.836435273,0.176241675,0.373593604,9.038482574,42.80040748,42,6.751090984,0.934525982,6.357215119,3.37376E+12,166565.2714,0.616568691,194290160.9,0.036139307,263.2494134,-2980874086,44349.79817,18.20293839,-0.185992353,13.62644699,77455.34542,-373812602.2,-18.65207208,533458.0107,1.47904E+15,139539.0346,0.499435462,275251.2,144541.7699,2.739606527,0,1986.426512,3.239620342,69638553.6,-27221.54909,60.02741308,38499.74118,1075.2,,2.91206E+13,74.97012642,428002.7479,56.17172013,82409.6277,0.033789202,2607886.339,15819.62679,570592.437,460.310041,0.63465302,0,4300.8,9.28375E+15,0.84,0.970915062,-91928077505,0.125597398,1.30133E+13,0.000357512,7.91275E+11,-29027366199,17203.2,-20308016.53,26335.94757,-8.6188E+12,1075.2,9.617428686,-3865239.841,155.5456478,-698510.2342,6.574606766,154.1301061,94346.81869,0,579137988.7,249.1553336,510.390152,118.6970573,10.96620387,0.329532909
8,2.038519839,275251.2,1.045227264,0.047188285,238.1711508,3.606535563,-0.898083577,-80205706107,21879.2429,2.95237E+14,1.011677546,2.261666835,494852.3839,0.63199684,1.315109313,1.035279672,1.09693E+13,137.6011571,70.46364871,2.345760897,1890,261307.4089,0.06488042,274.197219,257269.0257,801531.1125,56.708514,0.651155781,0.00615845,0.369952976,1.32159352,31.34080218,42,2.762295004,0.98807977,-2.516691002,-1.28743E+13,258326.3827,1.256041703,-73665689.34,0.11864702,,-1450201486,-94808.45407,13.68134897,0.132486952,9.835053826,32376.19437,-371839231,,584442.4191,-1.06933E+15,249492.3547,0.538748812,275251.2,238327.5471,-16.35273614,0,97257.73028,2.662253672,69638553.6,-14905.08553,76.6805321,45875.84531,1075.2,10.5,1.26635E+13,45.34231601,172911.7897,91.12934093,,,1789741.045,120950.1353,694367.9557,515.8763473,-0.065545699,0,4300.8,-1.62E+16,0.84,4.891716774,-46209124148,1.355715949,9.62241E+12,0.000842715,1.433E+12,-1.39697E+11,17203.2,49039676.87,14304.70773,-6.83936E+12,1075.2,53.04467522,382719.6435,155.5822261,519114.1115,1.000486472,353.7982197,87109.94157,0,-971746075.2,154.1011782,311.2734859,133.901937,1.269821338,
9,8.211853051,275251.2,1.044207395,6.903143618,285.449735,19.27770955,3.627151065,-3.55568E+11,6062.755518,1.90561E+15,1.086918967,3.550336047,934294.3022,2.518858141,1.451402852,1.040396967,-2.66091E+13,8.672106924,581.1544084,40.57340523,2700.135894,,-0.143418729,,1381649.685,469769.2445,49.26541852,,14.5269854,2.09153927,22.2886796,166.2526849,13.95461195,-2.342716953,-3.406410049,-13.93609102,4.68496E+12,311201.2084,6.888990488,995941663.1,0.756164933,509.0836143,10159112967,-22081.56274,155.8882557,-0.008740936,67.30963666,1049257.508,-6117702.177,-17.7096749,5133445.76,8.11416E+13,303961.985,4.700287336,165241.2076,835929.9393,50.13646776,0,62939.78046,1.088046506,21844312.12,730546.3742,383.6860374,444223.0386,524.638206,-19.86385363,-1.7064E+13,76.22104958,56693.79985,280.2097388,-73599.48311,-0.727940693,21694735.95,966478.5716,51442.4597,588.0926497,6.81443724,0,2524.247051,1.00E+17,0.837349374,4.541117812,-20498762099,-1.007462454,2.51252E+14,0.03993336,-7.54415E+11,-1.63847E+11,-12910.13891,-169781977.5,756.9758856,6.74842E+13,1075.2,41.23269918,15286939.28,-46.83861282,680269.1952,25.11099771,198.540866,16236.03684,0,5057204573,1048.116639,475.1132118,887.5440878,32.5329337,5.942721069
